DEST_COUNTRY_NAME,sum(count)
Anguilla,41
Russia,176
Paraguay,60
Senegal,40
Sweden,118
Kiribati,26
Guyana,64
Philippines,134
Djibouti,1
Malaysia,2
Singapore,3
Fiji,24
Turkey,138
Iraq,1
Germany,1468
Jordan,44
Palau,30
Turks and Caicos Islands,230
France,935
Greece,30
Kosovo,1
Taiwan,266
British Virgin Islands,107
Dominica,20
Algeria,4
Argentina,180
Belgium,259
Angola,15
Ecuador,268
Qatar,108
Finland,26
New Caledonia,1
Nicaragua,179
Ghana,18
Peru,279
United States,411352
India,61
China,772
Curacao,90
Malta,1
Kuwait,32
Marshall Islands,42
Chile,174
Martinique,44
Cayman Islands,314
Croatia,2
Bolivia,30
Nigeria,59
Italy,382
Suriname,1
Norway,121
Spain,420
Cuba,466
Guadeloupe,56
Denmark,153
Niger,2
Barbados,154
Ireland,335
Thailand,3
Morocco,15
Panama,510
Cape Verde,20
Hong Kong,332
Venezuela,290
Ukraine,14
Iceland,181
Israel,134
Saint Barthelemy,39
Saint Kitts and Nevis,139
French Polynesia,43
South Korea,1048
Cyprus,1
Uruguay,43
"Bonaire, Sint Eustatius, and Saba",58
Mexico,7140
Cote d'Ivoire,1
Aruba,346
Georgia,2
Indonesia,1
Saint Vincent and the Grenadines,1
The Bahamas,955
Guatemala,397
Azerbaijan,21
Sint Maarten,325
Grenada,53
Federated States of Micronesia,69
Liberia,2
Tunisia,3
Honduras,362
Trinidad and Tobago,211
Saudi Arabia,83
French Guiana,5
Switzerland,294
Zambia,1
Ethiopia,13
Latvia,19
Jamaica,666
United Arab Emirates,320
Saint Lucia,123
Canada,8399
Samoa,25
Czech Republic,13
Cook Islands,13
Brazil,853
Belize,188
Antigua and Barbuda,126
Dominican Republic,1353
Japan,1548
Luxembourg,155
New Zealand,111
Greenland,2
Haiti,226
Poland,32
Portugal,127
Papua New Guinea,3
Australia,329
Romania,14
Bulgaria,3
Austria,62
Egypt,15
Costa Rica,588
El Salvador,561
Burkina Faso,1
South Africa,36
Bermuda,183
Bahrain,19
Colombia,873
Hungary,2
Pakistan,12
Moldova,1
United Kingdom,2025
Netherlands,776
